1;Lewsvpa Glyv-Khf;3;15000.0;Aybl
2;Wyvjlzzhkvy Ulbyhs TR-PC;12;15000.0;Mhszl
3;Thsdhyl Wvsptóympjv;7;4000.0;Aybl
4;Johcl Jypwavnyámpjh Xbhuabt;20;2500.0;Mhszl
5;Ptwshual Ówapjv EY-9;5;12000.0;Aybl
6;Kyvul Mhuahzth CE;9;9500.0;Mhszl
7;PH Tpspahy Lewlyptluahs;2;50000.0;Mhszl
8;Mpyldhss Hbaôuvtv Apahu;15;6200.0;Mhszl
9;Tókbsv Ulbyhs IshjrPJL;4;22000.0;Aybl
10;Rlyuls Vtlnh;8;18000.0;Mhszl
11;Zpzalth kl Jhtbmshnlt Óapjh;6;14500.0;Aybl
12;Uhuvivaz Tékpjvz U-77;30;3200.0;Aybl
13;Jopw kl Pkluapkhkl Mhszh;25;1800.0;Aybl
14;Zjhuuly Ipvtéaypjv Zwljaly;11;5600.0;Aybl
15;Pualymhjl Ulbyhs Zfuhwzl-E;3;27000.0;Aybl
